Place,Latitude,Longitude,NearestRoutePointIndex,DistanceToRoute
Rosegtal,46.4890557,9.8987686,5,93.72985667617458
Val Roseg,46.4379345,9.8668031,484,2.8498313186566016
Tschiervahütte,46.40385045,9.880129323931119,1039,15.144702253343521
Tschierva-Hütte,46.40385045,9.880129323931119,1039,15.144702253343521
Fuorcla Prievlusa,46.3939731,9.9068242,1076,12.72156909783569
Biancograt,46.3876352,9.9058198,1088,57.889776995595184
Piz Bianco,46.3845983,9.9065742,1093,17.374131774207548
Piz Bernina,46.3824278,9.9080521,1099,7.1271589393882895
La Spedla,46.3809172,9.9073907,1101,3.026345345541516
